t,pwr,gtemp,mtemp,sm,mem,mclk,pclk
1786271270.8309472,125,86,-,100,38,7001,1942
1786271271.8334756,125,87,-,86,40,7001,1927
1786271272.846462,128,87,-,100,37,7001,1897
1786271273.85525,124,86,-,100,37,7001,1935
1786271274.8573914,124,86,-,100,43,7001,1905
1786271275.8697314,118,86,-,100,37,7001,1935
1786271276.8751218,127,87,-,85,38,7001,1935
1786271277.8891423,122,87,-,100,38,7001,1897
1786271278.8953195,121,87,-,100,37,7001,1935
1786271279.9020429,44,78,-,10,1,7001,2010
1786271280.9096909,43,76,-,0,0,7001,2010
1786271281.9185693,26,73,-,0,0,6001,300
