t_epoch,util_gpu_pct,mem_used_mib,mem_total_mib,temp_c
1786264037.28,13,1195,6144,58
1786264038.35,11,1207,6144,58
1786264039.41,13,1197,6144,58
1786264040.46,13,1404,6144,59
1786264041.51,11,1404,6144,59
1786264042.58,9,1397,6144,59
1786264043.65,9,1397,6144,59
1786264044.72,10,1397,6144,59
1786264045.78,9,1402,6144,59
1786264046.84,10,1402,6144,59
1786264047.89,11,1402,6144,59
1786264048.96,10,1402,6144,59
1786264050.02,9,1402,6144,60
1786264051.06,9,1397,6144,60
1786264052.11,9,1397,6144,60
1786264053.17,10,1397,6144,60
1786264054.22,9,1397,6144,60
1786264055.29,8,1397,6144,60
1786264056.35,9,1397,6144,60
1786264057.41,9,1397,6144,60
1786264058.47,11,1397,6144,60
1786264059.52,10,1397,6144,61
1786264060.57,12,1397,6144,61
1786264061.63,12,1397,6144,61
1786264062.7,11,1397,6144,61
1786264063.77,11,1397,6144,61
1786264064.84,10,1397,6144,61
1786264065.9,11,1397,6144,62
1786264066.96,10,1397,6144,62
1786264068.01,10,1397,6144,62
1786264069.09,9,1397,6144,62
1786264070.17,10,1391,6144,63
1786264071.23,10,1320,6144,62
1786264072.31,9,1320,6144,62
1786264073.37,11,1320,6144,62
1786264074.44,10,1320,6144,62
1786264075.5,12,1320,6144,62
1786264076.59,12,1320,6144,62
1786264077.66,10,1320,6144,62
1786264078.75,12,1320,6144,62
1786264079.89,11,1320,6144,62
1786264080.97,8,1320,6144,62
1786264082.03,9,1320,6144,62
1786264083.11,9,1320,6144,62
1786264084.19,9,1320,6144,62
1786264085.27,12,1320,6144,62
1786264086.33,12,1320,6144,62
1786264087.4,13,1320,6144,62
1786264088.46,13,1320,6144,62
1786264089.53,14,1320,6144,62
1786264090.61,11,1320,6144,62
1786264091.68,10,1320,6144,62
1786264092.74,11,1320,6144,62
1786264093.8,9,1320,6144,61
1786264094.88,11,1320,6144,61
1786264095.96,10,1325,6144,61
1786264097.03,11,1325,6144,61
1786264098.11,10,1325,6144,61
1786264099.19,11,1325,6144,61
1786264100.27,11,1325,6144,61
1786264101.33,11,1325,6144,62
1786264102.4,11,1331,6144,61
1786264103.47,12,1331,6144,61
1786264104.56,11,1331,6144,61
1786264105.63,11,1331,6144,61
1786264106.72,11,1331,6144,61
1786264107.79,11,1325,6144,61
1786264108.94,11,1351,6144,61
1786264110.01,9,3619,6144,65
1786264111.08,99,3745,6144,69
1786264112.15,100,3745,6144,72
1786264113.23,100,3745,6144,74
1786264114.31,100,3745,6144,74
1786264115.39,93,3745,6144,75
1786264116.48,95,3745,6144,75
1786264117.55,100,3745,6144,76
1786264118.64,100,3745,6144,77
1786264119.7,100,3745,6144,78
1786264120.79,100,3745,6144,78
1786264121.88,99,3745,6144,79
1786264122.96,94,3745,6144,79
1786264124.07,94,3745,6144,80
1786264125.15,100,3745,6144,79
1786264126.25,99,3745,6144,80
1786264127.35,99,3745,6144,80
1786264128.45,100,3754,6144,80
1786264129.53,100,3754,6144,80
1786264130.61,100,3749,6144,79
1786264131.69,91,3749,6144,80
1786264132.77,100,3749,6144,80
1786264133.93,100,3740,6144,81
1786264135.02,99,3740,6144,81
1786264136.11,100,3740,6144,81
1786264137.2,100,3740,6144,81
1786264138.3,100,3740,6144,81
1786264139.38,100,3740,6144,81
1786264140.48,92,3740,6144,81
1786264141.57,92,3740,6144,81
1786264142.66,100,3740,6144,81
1786264143.72,100,3740,6144,81
1786264144.82,100,3740,6144,81
1786264145.9,100,3740,6144,82
1786264147.0,100,3745,6144,81
1786264148.09,100,3745,6144,81
1786264149.18,92,3745,6144,81
1786264150.27,91,3745,6144,81
1786264151.38,100,3745,6144,82
1786264152.46,100,3745,6144,82
1786264153.54,99,3745,6144,82
1786264154.63,100,3745,6144,81
1786264155.73,100,3745,6144,82
1786264156.83,99,3745,6144,82
1786264157.92,92,3740,6144,81
1786264159.01,91,3740,6144,82
1786264160.09,100,3755,6144,82
1786264161.17,99,3755,6144,82
1786264162.25,99,3750,6144,82
1786264163.35,99,3749,6144,82
1786264164.42,100,3749,6144,82
1786264165.54,100,3740,6144,81
1786264166.65,40,3740,6144,78
1786264167.75,8,3740,6144,73
1786264168.83,9,3740,6144,71
1786264169.93,8,3740,6144,70
1786264171.03,10,3740,6144,69
