t_epoch,util_gpu_pct,mem_used_mib,mem_total_mib,temp_c
1786265977.79,4,271,6144,62
1786265978.87,2,271,6144,61
1786265979.93,2,271,6144,61
1786265980.99,2,271,6144,61
1786265982.06,8,482,6144,62
1786265983.13,0,482,6144,62
1786265984.19,0,482,6144,62
1786265985.27,0,482,6144,62
1786265986.32,0,482,6144,62
1786265987.4,0,482,6144,62
1786265988.47,0,482,6144,61
1786265989.53,2,482,6144,61
1786265990.6,1,482,6144,60
1786265991.66,1,482,6144,60
1786265992.73,2,482,6144,60
1786265993.8,2,482,6144,60
1786265994.88,2,482,6144,60
1786265995.96,2,482,6144,60
1786265997.05,1,482,6144,60
1786265998.12,1,482,6144,60
1786265999.19,1,482,6144,60
1786266000.25,2,482,6144,59
1786266001.33,2,482,6144,59
1786266002.4,4,482,6144,59
1786266003.47,2,482,6144,59
1786266004.52,4,482,6144,59
1786266005.57,4,482,6144,59
1786266006.64,2,482,6144,59
1786266007.71,2,482,6144,59
1786266008.77,2,482,6144,59
1786266009.82,2,482,6144,59
1786266010.89,2,482,6144,59
1786266011.96,2,482,6144,59
1786266013.03,1,482,6144,59
1786266014.1,1,482,6144,59
1786266015.17,1,482,6144,59
1786266016.24,2,482,6144,59
1786266017.32,5,484,6144,59
1786266018.37,2,484,6144,59
1786266019.44,2,484,6144,58
1786266020.51,2,484,6144,59
1786266021.57,1,484,6144,58
1786266022.64,2,483,6144,58
1786266023.72,2,483,6144,58
1786266024.85,2,483,6144,58
1786266025.91,2,483,6144,58
1786266027.0,2,483,6144,58
1786266028.08,7,492,6144,58
1786266029.15,4,492,6144,58
1786266030.22,4,492,6144,58
1786266031.3,4,492,6144,58
1786266032.37,4,492,6144,58
1786266033.44,4,492,6144,58
1786266034.52,2,492,6144,58
1786266035.59,2,492,6144,58
1786266036.65,1,492,6144,58
1786266037.73,2,490,6144,58
1786266038.81,2,490,6144,58
1786266039.88,2,490,6144,58
1786266040.95,2,490,6144,58
1786266042.02,2,491,6144,58
1786266043.09,1,491,6144,58
1786266044.16,1,491,6144,58
1786266045.23,2,491,6144,57
1786266046.3,2,491,6144,57
1786266047.37,2,491,6144,57
1786266048.43,2,491,6144,57
1786266049.51,2,491,6144,57
1786266050.58,2,511,6144,57
1786266051.65,10,2563,6144,58
1786266052.72,1,2627,6144,66
1786266053.78,100,2749,6144,69
1786266054.86,88,2749,6144,71
1786266055.94,90,2749,6144,72
1786266057.01,100,2749,6144,74
1786266058.08,100,2749,6144,74
1786266059.16,100,2749,6144,75
1786266060.23,92,2749,6144,76
1786266061.31,100,2749,6144,76
1786266062.37,100,2749,6144,77
1786266063.44,100,2749,6144,78
1786266064.52,91,2749,6144,79
1786266065.58,100,2749,6144,79
1786266066.66,100,2749,6144,79
1786266067.72,81,2749,6144,80
1786266068.78,100,2749,6144,79
1786266069.86,91,2749,6144,81
1786266070.93,100,2749,6144,81
1786266072.0,100,2749,6144,81
1786266073.06,100,2749,6144,82
1786266074.13,92,2749,6144,82
1786266075.21,100,2749,6144,83
1786266076.29,100,2749,6144,83
1786266077.36,91,2749,6144,84
1786266078.44,100,2749,6144,83
1786266079.52,100,2749,6144,84
1786266080.59,93,2749,6144,84
1786266081.66,100,2749,6144,85
1786266082.73,100,2749,6144,85
1786266083.8,100,2749,6144,85
1786266084.87,100,2749,6144,85
1786266085.93,100,2749,6144,85
1786266087.0,89,2749,6144,86
1786266088.09,100,2749,6144,86
1786266089.16,100,2749,6144,86
1786266090.23,91,2749,6144,86
1786266091.3,100,2749,6144,86
1786266092.36,100,2749,6144,86
1786266093.43,93,2749,6144,86
1786266094.51,100,2749,6144,87
1786266095.6,100,2749,6144,86
1786266096.69,100,2749,6144,86
1786266097.78,4,2749,6144,78
1786266098.88,0,2749,6144,74
1786266099.98,1,2749,6144,72
1786266101.07,1,2749,6144,71
