t_epoch,util_gpu_pct,mem_used_mib,mem_total_mib,temp_c
1786266176.74,2,279,6144,59
1786266177.82,2,279,6144,59
1786266178.88,4,279,6144,59
1786266179.97,4,279,6144,59
1786266181.04,1,491,6144,60
1786266182.11,1,491,6144,60
1786266183.18,1,491,6144,60
1786266184.25,0,491,6144,60
1786266185.31,0,491,6144,60
1786266186.38,0,491,6144,60
1786266187.46,0,491,6144,59
1786266188.53,2,491,6144,59
1786266189.6,2,491,6144,59
1786266190.66,2,491,6144,58
1786266191.74,2,491,6144,58
1786266192.81,2,491,6144,58
1786266193.86,1,491,6144,58
1786266194.93,1,491,6144,58
1786266195.99,1,491,6144,58
1786266197.07,2,491,6144,58
1786266198.14,2,491,6144,58
1786266199.21,2,491,6144,58
1786266200.28,2,491,6144,58
1786266201.34,2,491,6144,58
1786266202.42,1,491,6144,58
1786266203.5,1,491,6144,58
1786266204.57,2,491,6144,58
1786266205.63,2,491,6144,58
1786266206.7,2,491,6144,58
1786266207.77,4,491,6144,58
1786266208.84,5,492,6144,58
1786266209.91,1,492,6144,57
1786266210.98,4,492,6144,57
1786266212.04,4,492,6144,57
1786266213.12,4,491,6144,57
1786266214.18,2,492,6144,57
1786266215.26,2,492,6144,57
1786266216.32,2,492,6144,57
1786266217.39,1,492,6144,57
1786266218.46,1,492,6144,57
1786266219.54,2,492,6144,57
1786266220.62,2,490,6144,57
1786266221.7,0,492,6144,57
1786266222.77,2,492,6144,57
1786266223.83,2,492,6144,57
1786266224.91,2,492,6144,57
1786266225.99,1,492,6144,57
1786266227.05,1,490,6144,57
1786266228.12,2,490,6144,57
1786266229.19,2,490,6144,57
1786266230.25,2,490,6144,57
1786266231.33,0,492,6144,57
1786266232.39,0,492,6144,57
1786266233.47,2,492,6144,57
1786266234.55,2,492,6144,57
1786266235.64,2,492,6144,57
1786266236.7,2,492,6144,57
1786266237.78,2,490,6144,57
1786266238.86,4,490,6144,57
1786266239.92,4,490,6144,56
1786266240.99,1,490,6144,56
1786266242.07,1,490,6144,56
1786266243.13,4,490,6144,56
1786266244.2,4,490,6144,56
1786266245.28,3,492,6144,56
1786266246.37,1,492,6144,56
1786266247.45,1,492,6144,56
1786266248.52,0,492,6144,56
1786266249.6,1,492,6144,56
1786266250.67,1,564,6144,56
1786266251.71,8,3488,6144,57
1786266252.79,1,3605,6144,59
1786266253.85,100,3747,6144,68
1786266254.92,100,3749,6144,71
1786266255.98,100,3749,6144,71
1786266257.06,100,3749,6144,72
1786266258.14,100,3749,6144,73
1786266259.22,100,3749,6144,74
1786266260.32,100,3749,6144,74
1786266261.46,100,3749,6144,75
1786266262.54,100,3749,6144,76
1786266263.61,83,3749,6144,76
1786266264.67,88,3749,6144,76
1786266265.74,100,3749,6144,77
1786266266.82,100,3749,6144,78
1786266267.89,100,3749,6144,79
1786266268.96,100,3749,6144,79
1786266270.02,100,3749,6144,80
1786266271.08,100,3749,6144,80
1786266272.16,100,3749,6144,81
1786266273.22,100,3749,6144,81
1786266274.27,80,3749,6144,81
1786266275.34,88,3749,6144,81
1786266276.4,88,3749,6144,82
1786266277.49,100,3749,6144,83
1786266278.58,100,3749,6144,84
1786266279.67,100,3749,6144,85
1786266280.76,100,3749,6144,85
1786266281.85,100,3749,6144,85
1786266282.92,100,3749,6144,86
1786266283.99,100,3749,6144,86
1786266285.06,100,3749,6144,86
1786266286.14,100,3749,6144,86
1786266287.21,100,3749,6144,86
1786266288.31,86,3749,6144,86
1786266289.39,88,3749,6144,87
1786266290.48,90,3749,6144,87
1786266291.57,100,3749,6144,87
1786266292.64,100,3749,6144,87
1786266293.72,100,3749,6144,87
1786266294.82,100,3749,6144,87
1786266295.91,100,3749,6144,86
1786266297.01,100,3749,6144,87
1786266298.1,100,3749,6144,87
1786266299.17,100,3749,6144,86
1786266300.25,85,3749,6144,87
1786266301.33,82,3749,6144,87
1786266302.41,100,3749,6144,87
1786266303.49,100,3749,6144,87
1786266304.56,100,3749,6144,87
1786266305.65,100,3749,6144,87
1786266306.73,100,3749,6144,87
1786266307.81,100,3749,6144,87
1786266308.89,100,3749,6144,86
1786266309.97,90,3749,6144,87
1786266311.04,84,3749,6144,87
1786266312.1,100,3749,6144,87
1786266313.16,100,3749,6144,87
1786266314.23,100,3749,6144,87
1786266315.29,100,3749,6144,86
1786266316.36,0,3749,6144,78
1786266317.43,0,3749,6144,75
1786266318.5,0,3749,6144,74
