t_epoch,util_gpu_pct,mem_used_mib,mem_total_mib,temp_c
1786266384.01,3,279,6144,58
1786266385.09,2,279,6144,58
1786266386.16,2,279,6144,58
1786266387.22,2,279,6144,58
1786266388.27,0,491,6144,59
1786266389.35,0,491,6144,60
1786266390.42,0,491,6144,60
1786266391.48,0,491,6144,60
1786266392.56,1,491,6144,60
1786266393.62,0,491,6144,60
1786266394.7,1,491,6144,59
1786266395.76,3,491,6144,59
1786266396.83,4,491,6144,59
1786266397.9,1,491,6144,58
1786266398.97,1,491,6144,58
1786266400.02,0,491,6144,58
1786266401.1,1,491,6144,58
1786266402.16,1,491,6144,58
1786266403.23,1,491,6144,58
1786266404.29,1,491,6144,58
1786266405.36,1,491,6144,58
1786266406.44,1,491,6144,58
1786266407.52,1,491,6144,58
1786266408.58,1,491,6144,58
1786266409.64,1,491,6144,58
1786266410.73,2,491,6144,58
1786266411.81,2,491,6144,58
1786266412.88,2,491,6144,58
1786266414.01,2,491,6144,58
1786266415.09,2,491,6144,58
1786266416.16,1,491,6144,58
1786266417.24,2,491,6144,58
1786266418.32,2,491,6144,58
1786266419.39,2,492,6144,58
1786266420.46,4,492,6144,57
1786266421.53,4,492,6144,58
1786266422.6,4,492,6144,57
1786266423.67,4,492,6144,57
1786266424.73,4,491,6144,57
1786266425.8,2,491,6144,57
1786266426.86,4,491,6144,57
1786266427.92,2,491,6144,57
1786266429.01,2,491,6144,57
1786266430.07,1,491,6144,57
1786266431.14,2,491,6144,57
1786266432.21,2,491,6144,57
1786266433.28,2,491,6144,57
1786266434.35,2,491,6144,57
1786266435.42,2,491,6144,57
1786266436.5,2,491,6144,57
1786266437.58,1,491,6144,57
1786266438.64,1,491,6144,57
1786266439.73,2,490,6144,57
1786266440.93,2,490,6144,57
1786266441.99,2,490,6144,57
1786266443.06,2,490,6144,57
1786266444.13,2,490,6144,57
1786266445.21,1,490,6144,57
1786266446.29,2,490,6144,57
1786266447.36,2,490,6144,57
1786266448.42,2,490,6144,57
1786266449.5,2,490,6144,57
1786266450.57,4,490,6144,56
1786266451.64,4,490,6144,57
1786266452.73,1,490,6144,57
1786266453.8,4,490,6144,56
1786266454.86,2,490,6144,56
1786266455.92,2,490,6144,56
1786266457.0,2,574,6144,56
1786266458.06,5,4422,6144,61
1786266459.13,100,4566,6144,67
1786266460.19,100,4566,6144,69
1786266461.26,100,4707,6144,70
1786266462.32,100,4707,6144,72
1786266463.39,89,4707,6144,73
1786266464.45,100,4707,6144,74
1786266465.52,100,4707,6144,74
1786266466.59,100,4707,6144,75
1786266467.65,100,4707,6144,76
1786266468.73,91,4707,6144,76
1786266469.81,100,4707,6144,77
1786266470.87,100,4707,6144,78
1786266471.94,100,4707,6144,78
1786266473.01,97,4707,6144,78
1786266474.06,100,4707,6144,79
1786266475.13,100,4707,6144,80
1786266476.2,100,4707,6144,80
1786266477.27,100,4707,6144,81
1786266478.34,90,4707,6144,81
1786266479.51,100,4707,6144,83
1786266480.6,100,4707,6144,83
1786266481.68,100,4707,6144,84
1786266482.76,100,4707,6144,84
1786266483.84,100,4707,6144,84
1786266484.92,91,4707,6144,84
1786266486.02,100,4707,6144,85
1786266487.1,100,4707,6144,85
1786266488.16,100,4707,6144,85
1786266489.24,100,4707,6144,86
1786266490.31,100,4707,6144,86
1786266491.38,100,4707,6144,86
1786266492.46,82,4707,6144,86
1786266493.53,100,4707,6144,86
1786266494.6,100,4707,6144,87
1786266495.7,100,4707,6144,87
1786266496.78,100,4707,6144,87
1786266497.83,84,4707,6144,86
1786266498.89,100,4707,6144,87
1786266499.98,100,4707,6144,87
1786266501.06,100,4707,6144,87
1786266502.13,87,4707,6144,86
1786266503.21,100,4707,6144,87
1786266504.29,100,4707,6144,86
1786266505.37,100,4707,6144,86
1786266506.44,100,4707,6144,86
1786266507.52,90,4707,6144,86
1786266508.67,100,4707,6144,86
1786266509.74,100,4707,6144,86
1786266510.8,100,4707,6144,86
1786266511.88,100,4707,6144,87
1786266512.94,100,4707,6144,86
1786266514.0,100,4707,6144,87
1786266515.06,100,4707,6144,87
1786266516.12,100,4707,6144,87
1786266517.18,100,4707,6144,86
1786266518.24,100,4707,6144,87
1786266519.31,100,4707,6144,87
1786266520.38,89,4707,6144,87
1786266521.44,100,4707,6144,87
1786266522.52,100,4707,6144,86
1786266523.6,86,4707,6144,86
1786266524.68,100,4707,6144,86
1786266525.76,100,4707,6144,86
1786266526.83,100,4707,6144,87
1786266527.91,100,4707,6144,87
1786266528.99,100,4707,6144,87
1786266530.07,100,4707,6144,86
1786266531.14,91,4707,6144,87
1786266532.21,100,4707,6144,87
1786266533.3,100,4707,6144,86
1786266534.38,89,4707,6144,87
1786266535.46,100,4707,6144,87
1786266536.53,100,4707,6144,87
1786266537.7,100,4707,6144,87
1786266538.75,100,4707,6144,87
1786266539.85,100,4707,6144,86
1786266540.92,100,4707,6144,87
1786266542.01,84,4707,6144,87
1786266543.09,100,4707,6144,86
1786266544.17,100,4707,6144,87
1786266545.24,7,4707,6144,83
1786266546.34,0,4770,6144,78
1786266547.44,0,4745,6144,74
1786266548.53,1,4745,6144,72
1786266549.62,1,318,6144,72
