t_epoch,util_gpu_pct,mem_used_mib,mem_total_mib,temp_c
1786265068.12,8,624,6144,64
1786265069.19,7,624,6144,64
1786265070.28,7,618,6144,63
1786265071.35,9,607,6144,63
1786265072.41,9,616,6144,63
1786265073.48,9,802,6144,63
1786265074.55,8,802,6144,63
1786265075.62,8,802,6144,63
1786265076.69,8,802,6144,63
1786265077.76,6,809,6144,63
1786265078.83,9,815,6144,63
1786265079.9,9,815,6144,63
1786265080.96,10,815,6144,63
1786265082.02,9,815,6144,63
1786265083.09,8,815,6144,63
1786265084.17,8,808,6144,63
1786265085.24,8,808,6144,63
1786265086.31,9,808,6144,63
1786265087.38,9,808,6144,63
1786265088.47,8,808,6144,63
1786265089.54,9,808,6144,63
1786265090.61,9,808,6144,63
1786265091.68,9,808,6144,63
1786265092.76,8,808,6144,63
1786265093.83,8,808,6144,63
1786265094.92,8,808,6144,63
1786265095.99,8,808,6144,63
1786265097.06,7,808,6144,63
1786265098.12,7,809,6144,63
1786265099.2,8,809,6144,63
1786265100.28,8,809,6144,63
1786265101.41,10,809,6144,63
1786265102.48,11,809,6144,63
1786265103.55,9,809,6144,63
1786265104.63,9,809,6144,63
1786265105.71,10,809,6144,63
1786265106.77,9,809,6144,63
1786265107.84,9,809,6144,63
1786265108.9,11,809,6144,63
1786265109.98,9,809,6144,63
1786265111.06,8,809,6144,63
1786265112.12,9,809,6144,63
1786265113.2,9,809,6144,63
1786265114.26,9,809,6144,62
1786265115.35,9,809,6144,63
1786265116.43,9,815,6144,62
1786265117.5,7,815,6144,62
1786265118.56,7,815,6144,63
1786265119.63,9,815,6144,62
1786265120.7,9,815,6144,62
1786265121.77,8,815,6144,62
1786265122.85,8,815,6144,62
1786265123.93,9,815,6144,62
1786265125.01,8,815,6144,62
1786265126.1,10,815,6144,62
1786265127.17,10,815,6144,62
1786265128.23,10,815,6144,62
1786265129.29,9,815,6144,62
1786265130.36,8,815,6144,62
1786265131.45,9,815,6144,62
1786265132.52,9,815,6144,62
1786265133.59,9,815,6144,62
1786265134.75,9,815,6144,62
1786265135.83,6,815,6144,62
1786265136.92,6,815,6144,62
1786265137.99,6,815,6144,62
1786265139.06,6,815,6144,62
1786265140.13,8,815,6144,62
1786265141.21,8,815,6144,62
1786265142.27,8,815,6144,62
1786265143.37,9,815,6144,62
1786265144.43,9,815,6144,62
1786265145.5,8,815,6144,62
1786265146.57,9,905,6144,62
1786265147.64,12,5940,6144,67
1786265148.73,8,5942,6144,64
1786265149.81,76,5919,6144,65
1786265150.91,100,5962,6144,66
1786265151.99,84,5957,6144,66
1786265153.05,100,5959,6144,66
1786265154.13,27,5959,6144,66
1786265155.2,36,5959,6144,67
1786265156.25,100,5959,6144,66
1786265157.32,0,5961,6144,67
1786265158.37,100,5954,6144,66
1786265159.43,0,5964,6144,67
1786265160.49,100,5947,6144,67
1786265161.56,0,5965,6144,67
1786265162.61,100,5958,6144,67
1786265163.68,10,5955,6144,66
1786265164.75,7,5957,6144,66
1786265165.81,100,5959,6144,68
1786265166.89,8,5923,6144,67
1786265167.95,100,5954,6144,68
1786265169.01,9,5957,6144,67
1786265170.08,100,5957,6144,68
1786265171.14,29,5957,6144,68
1786265172.2,51,5959,6144,69
1786265173.27,99,5951,6144,67
1786265174.33,0,5936,6144,68
1786265175.4,100,5958,6144,68
1786265176.47,0,5948,6144,69
1786265177.54,100,5940,6144,68
1786265178.61,0,5958,6144,68
1786265179.68,100,5953,6144,68
1786265180.73,100,5950,6144,69
1786265181.78,3,5919,6144,68
1786265182.87,100,5952,6144,69
1786265183.93,6,5947,6144,68
1786265185.0,100,5946,6144,69
1786265186.07,5,5907,6144,68
1786265187.13,100,5941,6144,69
1786265188.19,27,5901,6144,68
1786265189.26,67,5956,6144,69
1786265190.32,100,5932,6144,68
1786265191.39,15,5946,6144,69
1786265192.45,100,5950,6144,68
1786265193.52,0,5950,6144,69
1786265194.58,100,5946,6144,68
1786265195.65,0,5947,6144,69
1786265196.71,0,5946,6144,68
1786265197.78,100,5947,6144,69
1786265198.84,0,5911,6144,68
1786265199.92,99,5945,6144,69
1786265201.06,14,5945,6144,68
1786265202.13,100,5949,6144,75
1786265203.19,98,5912,6144,70
1786265204.27,100,5916,6144,70
1786265205.34,5,5949,6144,68
1786265206.45,100,5924,6144,70
1786265207.53,8,5950,6144,68
1786265208.74,7,5893,6144,69
1786265209.83,100,5951,6144,69
1786265210.9,6,5932,6144,69
1786265211.98,100,5951,6144,69
1786265213.03,5,5950,6144,69
1786265214.1,89,5954,6144,68
1786265215.16,74,5935,6144,70
1786265216.23,0,5956,6144,70
1786265217.29,100,5935,6144,69
1786265218.36,0,5939,6144,69
1786265219.43,100,5922,6144,69
1786265220.51,0,5954,6144,69
1786265221.57,100,5948,6144,69
1786265222.64,0,5955,6144,69
1786265223.71,20,5954,6144,69
1786265224.78,100,5953,6144,70
1786265225.89,14,5937,6144,69
1786265226.96,100,5950,6144,70
1786265228.03,8,5937,6144,69
1786265229.08,100,5950,6144,70
1786265230.15,11,5888,6144,70
1786265231.22,100,5950,6144,70
1786265232.29,63,5935,6144,69
1786265233.36,20,5950,6144,70
1786265234.42,100,5935,6144,69
1786265235.49,0,5954,6144,70
1786265236.54,100,5956,6144,69
1786265237.61,0,5937,6144,69
1786265238.68,100,5941,6144,69
1786265239.75,100,5954,6144,70
1786265240.82,1,5952,6144,69
1786265241.89,100,5956,6144,70
1786265242.96,9,5937,6144,69
1786265244.03,100,5956,6144,69
1786265245.08,13,5931,6144,69
1786265246.15,100,5952,6144,69
1786265247.22,100,5904,6144,70
1786265248.29,18,5937,6144,70
1786265249.36,100,5937,6144,69
1786265250.43,0,5954,6144,70
1786265251.49,100,5952,6144,69
1786265252.56,1,5954,6144,69
1786265253.63,100,5952,6144,70
1786265254.71,0,5954,6144,69
1786265255.78,4,5918,6144,69
1786265256.89,100,5961,6144,75
1786265257.96,100,5927,6144,71
1786265259.09,100,5946,6144,74
1786265260.19,100,5963,6144,71
1786265261.25,6,5963,6144,70
1786265262.32,100,5963,6144,71
1786265263.4,100,5963,6144,71
1786265264.46,100,5962,6144,71
1786265265.53,100,5962,6144,71
1786265266.6,100,5962,6144,71
1786265267.67,100,5963,6144,69
1786265268.74,94,5931,6144,71
1786265269.81,100,5962,6144,71
1786265270.87,100,5929,6144,71
1786265271.94,100,5945,6144,71
1786265273.01,6,5946,6144,70
1786265274.08,100,5963,6144,70
1786265275.14,100,5962,6144,71
1786265276.22,100,5914,6144,70
1786265277.27,100,5962,6144,71
1786265278.34,100,5945,6144,70
1786265279.4,100,5962,6144,71
1786265280.47,100,5962,6144,70
1786265281.56,100,5954,6144,71
1786265282.64,100,5956,6144,71
1786265283.71,100,5953,6144,71
1786265284.79,100,5955,6144,71
1786265285.86,100,5955,6144,72
1786265286.93,100,5955,6144,71
1786265288.07,100,5955,6144,72
1786265289.12,100,5955,6144,72
1786265290.2,100,5955,6144,72
1786265291.25,100,5919,6144,70
1786265292.32,100,5936,6144,72
1786265293.4,100,5958,6144,72
1786265294.47,100,5909,6144,72
1786265295.54,7,5958,6144,71
1786265296.61,100,5958,6144,72
1786265297.7,100,5958,6144,72
1786265298.78,100,5956,6144,72
1786265299.85,89,5930,6144,72
1786265300.92,100,5943,6144,71
1786265301.98,53,5919,6144,71
1786265303.06,99,5939,6144,72
1786265304.14,13,5885,6144,70
1786265305.21,100,5938,6144,71
1786265306.28,7,5885,6144,70
1786265307.35,100,5914,6144,71
1786265308.42,15,5872,6144,69
1786265309.49,100,5918,6144,71
1786265310.56,48,5897,6144,70
1786265311.63,35,5949,6144,74
1786265312.7,100,5943,6144,70
1786265313.79,99,5956,6144,71
1786265314.86,14,5936,6144,70
1786265315.94,100,5951,6144,71
1786265317.03,100,5902,6144,71
1786265318.09,1,5944,6144,69
1786265319.15,97,5934,6144,71
1786265320.25,96,5956,6144,71
1786265321.4,7,5953,6144,71
1786265322.46,99,5883,6144,70
1786265323.57,0,5965,6144,71
1786265324.67,100,5956,6144,71
1786265325.74,100,5956,6144,71
1786265326.81,100,5957,6144,71
1786265327.89,7,5953,6144,70
1786265328.97,100,5931,6144,71
1786265330.04,6,5953,6144,69
1786265331.11,92,5954,6144,71
1786265332.17,100,5954,6144,71
1786265333.31,100,5954,6144,71
1786265334.38,100,5965,6144,70
1786265335.52,100,5955,6144,71
1786265336.59,100,5957,6144,71
1786265337.67,100,5957,6144,72
1786265338.97,100,5957,6144,72
1786265340.04,100,5957,6144,72
1786265341.11,100,5957,6144,72
1786265342.18,100,5943,6144,72
1786265343.25,100,5944,6144,72
1786265344.32,94,5934,6144,72
1786265345.39,100,5902,6144,72
1786265346.46,6,5951,6144,71
1786265347.55,100,5932,6144,70
1786265348.62,100,5932,6144,71
1786265349.7,8,5964,6144,71
1786265350.77,100,5964,6144,72
1786265351.85,100,5964,6144,72
1786265352.92,100,5964,6144,72
1786265354.0,92,5962,6144,72
1786265355.08,83,5941,6144,72
1786265356.14,26,5943,6144,70
1786265357.23,94,5960,6144,71
1786265358.31,100,5930,6144,71
1786265359.38,100,5962,6144,72
1786265360.46,100,5945,6144,70
1786265361.53,100,5962,6144,71
1786265362.66,100,5967,6144,70
1786265363.73,14,5909,6144,70
1786265364.8,93,5960,6144,71
1786265365.87,100,5962,6144,72
1786265366.95,7,5962,6144,70
1786265368.01,100,5962,6144,73
1786265369.1,100,5958,6144,72
1786265370.17,100,5960,6144,71
1786265371.24,10,5960,6144,71
1786265372.3,97,5913,6144,72
1786265373.37,6,5960,6144,71
1786265374.44,100,5928,6144,70
1786265375.51,0,5962,6144,71
1786265376.57,100,5962,6144,71
1786265377.65,100,5962,6144,71
1786265378.71,100,5962,6144,71
1786265379.78,13,5945,6144,70
1786265380.87,88,5962,6144,71
1786265381.94,100,5928,6144,71
1786265383.01,100,5962,6144,71
1786265384.07,100,5962,6144,71
1786265385.13,100,5962,6144,71
1786265386.19,100,5962,6144,71
1786265387.26,100,5963,6144,71
1786265388.34,100,5963,6144,71
1786265389.42,100,5961,6144,71
1786265390.49,100,5959,6144,71
1786265391.56,100,5959,6144,71
1786265392.63,100,5959,6144,71
1786265393.7,100,5959,6144,71
1786265394.76,100,5959,6144,71
1786265395.86,100,5943,6144,70
1786265396.93,100,5962,6144,71
1786265397.99,100,5962,6144,71
1786265399.06,49,5932,6144,70
1786265400.12,100,5913,6144,71
1786265401.19,49,5962,6144,70
1786265402.26,100,5962,6144,71
1786265403.32,100,5962,6144,71
1786265404.39,100,5962,6144,71
1786265405.46,100,5958,6144,71
1786265406.52,100,5931,6144,69
1786265407.59,100,5948,6144,71
1786265408.66,100,5931,6144,69
1786265409.73,100,5964,6144,71
1786265410.79,100,5964,6144,71
1786265411.86,7,5915,6144,69
1786265412.95,100,5965,6144,71
1786265414.02,100,5965,6144,71
1786265415.1,100,5965,6144,71
1786265416.17,100,5965,6144,71
1786265417.24,100,5965,6144,71
1786265418.31,100,5962,6144,71
1786265419.37,100,5962,6144,71
1786265420.43,100,5962,6144,71
1786265421.5,84,5962,6144,71
1786265422.6,100,5946,6144,71
1786265423.68,100,5962,6144,71
1786265424.75,100,5962,6144,71
1786265425.83,100,5962,6144,71
1786265426.89,96,5962,6144,71
1786265427.97,100,5962,6144,71
1786265429.04,100,5962,6144,71
1786265430.12,100,5962,6144,71
1786265431.17,100,5928,6144,71
1786265432.25,100,5965,6144,71
1786265433.31,100,5965,6144,71
1786265434.4,100,5965,6144,71
1786265435.46,100,5931,6144,71
1786265436.52,6,5965,6144,70
1786265437.59,100,5931,6144,69
1786265438.66,0,5963,6144,70
1786265439.73,0,5931,6144,69
1786265440.8,100,5963,6144,73
1786265441.89,100,5965,6144,71
1786265442.95,100,5965,6144,71
1786265444.02,100,5965,6144,71
1786265445.09,100,5963,6144,71
1786265446.17,100,5963,6144,71
1786265447.24,12,5946,6144,70
1786265448.32,100,5963,6144,71
1786265449.37,5,5965,6144,70
1786265450.43,100,5967,6144,71
1786265451.51,100,5967,6144,71
1786265452.57,100,5967,6144,69
1786265453.64,100,5963,6144,71
1786265454.71,19,5963,6144,69
1786265455.78,9,5961,6144,69
1786265456.85,100,5963,6144,70
1786265457.92,6,5948,6144,69
1786265458.99,100,5931,6144,70
1786265460.06,100,5963,6144,70
1786265461.13,100,5931,6144,70
1786265462.19,100,5965,6144,70
1786265463.26,100,5931,6144,69
1786265464.35,100,5963,6144,70
