t,pwr,gtemp,mtemp,sm,mem,mclk,pclk
1786271630.9330904,11,55,-,1,0,405,210
1786271631.9340482,11,55,-,1,0,405,210
1786271632.937473,11,55,-,1,0,405,210
1786271633.9515195,11,55,-,1,0,405,210
1786271634.9539392,20,56,-,7,0,7001,1605
1786271635.9611778,25,57,-,0,0,7001,1605
1786271636.9622812,25,56,-,0,0,7001,1605
1786271637.9692287,25,56,-,0,0,7001,1605
1786271638.9760818,25,57,-,0,0,7001,1605
1786271639.9791803,25,56,-,0,0,7001,1605
1786271640.9890466,23,56,-,0,0,405,315
1786271642.0027916,12,55,-,1,0,405,210
1786271643.016028,12,55,-,1,0,405,210
1786271644.0265555,12,55,-,1,0,405,210
1786271645.0303183,12,54,-,3,1,405,210
1786271646.0424018,12,54,-,4,1,405,210
1786271647.044806,12,54,-,4,1,405,210
1786271648.06369,12,54,-,4,1,405,210
1786271649.071159,12,54,-,4,1,405,210
1786271650.078503,12,54,-,4,1,405,210
1786271651.081877,12,55,-,2,1,405,210
1786271652.097198,12,55,-,2,1,405,210
1786271653.1059043,12,55,-,2,1,405,210
1786271654.11666,12,55,-,1,1,405,210
1786271655.1260655,12,55,-,1,0,405,210
1786271656.129294,12,55,-,2,1,405,210
1786271657.1322827,12,55,-,2,1,405,210
1786271658.1372268,12,55,-,2,1,405,210
1786271659.1398015,12,55,-,2,1,405,210
1786271660.1480293,12,55,-,2,1,405,210
1786271661.150629,12,55,-,1,0,405,210
1786271662.1642275,12,55,-,2,1,405,210
1786271663.1763277,12,55,-,2,1,405,210
1786271664.1806526,12,55,-,2,1,405,210
1786271665.191129,12,56,-,2,1,405,210
1786271666.1933777,12,56,-,2,1,405,210
1786271667.2026427,12,56,-,1,0,405,210
1786271668.2097971,12,56,-,2,1,405,210
1786271669.2165024,12,56,-,2,1,405,210
1786271670.2300575,12,56,-,2,1,405,210
1786271671.239401,12,56,-,2,1,405,210
1786271672.2416074,12,56,-,2,1,405,210
1786271673.2474277,12,56,-,2,1,405,210
1786271674.2616935,12,56,-,2,1,405,210
1786271675.2709112,12,56,-,1,0,405,210
1786271676.2837155,12,56,-,1,0,405,210
1786271677.2975686,12,57,-,2,1,405,210
1786271678.3086674,12,56,-,1,0,405,210
1786271679.3222299,12,57,-,4,1,405,210
1786271680.3243234,12,57,-,4,1,405,210
1786271681.3338416,12,57,-,4,1,405,210
1786271682.3387396,12,57,-,4,1,405,210
1786271683.3453345,12,57,-,2,1,405,210
1786271684.3502219,12,57,-,2,1,405,210
1786271685.361959,12,57,-,2,1,405,210
1786271686.362946,12,57,-,2,1,405,210
1786271687.371854,12,57,-,2,1,405,210
1786271688.3793416,12,57,-,2,1,405,210
1786271689.386679,12,57,-,2,1,405,210
1786271690.3905892,12,57,-,1,0,405,210
1786271691.4037037,12,57,-,1,1,405,210
1786271692.4157832,13,57,-,53,39,405,210
1786271693.424382,51,62,-,100,0,7001,2040
1786271694.4301734,51,61,-,86,1,7001,2040
1786271695.4372203,51,62,-,100,1,7001,2040
1786271696.4457161,54,62,-,100,1,7001,2040
1786271697.4493442,50,63,-,100,0,7001,2040
1786271698.4612646,55,63,-,100,4,7001,2040
1786271699.4730613,50,63,-,100,0,7001,2040
1786271700.484965,60,63,-,100,5,7001,2040
1786271701.4890969,50,63,-,100,0,7001,2040
1786271702.5030918,54,63,-,100,4,7001,2040
1786271703.513134,53,64,-,100,0,7001,2040
1786271704.5185738,60,64,-,100,5,7001,2040
1786271705.5264232,54,64,-,100,0,7001,2040
1786271706.5274074,51,64,-,100,5,7001,2040
1786271707.5386171,84,67,-,100,14,7001,2040
1786271708.5497825,53,65,-,100,1,7001,2040
1786271709.5626855,52,64,-,100,1,7001,2040
1786271710.571319,55,64,-,100,6,7001,2040
1786271711.5805852,51,65,-,100,0,7001,2040
1786271712.5881262,51,65,-,100,2,7001,2040
1786271713.5915434,54,65,-,100,2,7001,2040
1786271714.6029036,55,65,-,100,0,7001,2040
1786271715.6088352,54,66,-,100,6,7001,2040
1786271716.619118,55,65,-,100,5,7001,2040
1786271717.6335964,54,65,-,100,0,7001,2040
1786271718.644703,55,65,-,100,0,7001,2040
1786271719.6558437,54,65,-,100,5,7001,2040
1786271720.6574717,89,69,-,100,15,7001,2040
1786271721.6654441,51,66,-,100,0,7001,2040
1786271722.6794705,50,65,-,100,0,7001,2040
1786271723.68001,56,66,-,100,0,7001,2040
1786271724.6944733,60,65,-,100,6,7001,2040
1786271725.705981,54,65,-,100,0,7001,2040
1786271726.7202842,51,66,-,100,4,7001,2040
1786271727.7357273,54,65,-,100,0,7001,2040
1786271728.7421684,51,65,-,100,0,7001,2040
1786271729.754449,56,66,-,100,5,7001,2040
1786271730.7624545,60,65,-,100,6,7001,2040
1786271731.7781353,54,65,-,100,0,7001,2040
1786271732.7854607,55,66,-,100,0,7001,2040
1786271733.7876813,55,67,-,100,1,7001,2032
1786271734.7932413,52,66,-,100,0,7001,2032
1786271735.7954545,52,66,-,100,0,7001,2032
1786271736.7990334,55,66,-,100,5,7001,2032
1786271737.8134873,51,66,-,100,0,7001,2032
1786271738.8207521,51,66,-,100,0,7001,2032
1786271739.8337626,56,66,-,100,2,7001,2032
1786271740.8390965,61,66,-,100,6,7001,2032
1786271741.8479862,56,66,-,100,0,7001,2032
1786271742.8585024,55,66,-,100,0,7001,2032
1786271743.8688571,60,66,-,100,5,7001,2032
1786271744.8836913,51,66,-,100,4,7001,2032
1786271745.895965,54,68,-,100,26,7001,2032
1786271746.910646,53,66,-,100,0,7001,2032
1786271747.9215271,53,66,-,100,0,7001,2032
1786271748.9255981,55,66,-,100,0,7001,2032
1786271749.932993,51,66,-,100,2,7001,2032
1786271750.9429889,50,67,-,100,6,7001,2032
1786271751.9601843,51,66,-,100,0,7001,2032
1786271752.964092,54,66,-,100,0,7001,2032
1786271753.9806967,61,66,-,100,5,7001,2032
1786271754.985059,51,66,-,100,5,7001,2032
1786271755.98645,51,66,-,100,0,7001,2032
1786271756.9977944,55,66,-,100,0,7001,2032
1786271758.0031428,53,67,-,100,5,7001,2032
1786271759.0134132,53,67,-,100,6,7001,2032
1786271760.0248253,51,67,-,100,0,7001,2032
1786271761.0280187,56,67,-,100,1,7001,2032
1786271762.0398152,52,66,-,100,0,7001,2032
1786271763.0532076,56,66,-,100,0,7001,2032
1786271764.0598564,54,67,-,100,2,7001,2032
1786271765.074504,50,67,-,100,5,7001,2032
1786271766.0877674,56,66,-,100,0,7001,2032
1786271767.0914712,54,67,-,100,0,7001,2032
1786271768.1016665,56,67,-,100,6,7001,2032
1786271769.10969,51,67,-,100,6,7001,2032
1786271770.11299,51,66,-,100,0,7001,2032
1786271771.1134012,138,73,-,100,0,7001,1995
1786271772.1269302,52,67,-,100,1,7001,2032
1786271773.1340067,51,67,-,100,0,7001,2032
1786271774.1400168,53,67,-,100,0,7001,2032
1786271775.1546247,60,67,-,100,5,7001,2032
1786271776.1642616,51,66,-,100,0,7001,2032
1786271777.1705213,51,66,-,100,0,7001,2032
1786271778.1782238,61,67,-,100,1,7001,2032
1786271779.1931777,52,67,-,100,6,7001,2032
1786271780.2052984,51,66,-,100,0,7001,2032
1786271781.2159483,55,66,-,100,0,7001,2032
1786271782.2194974,55,67,-,100,4,7001,2032
1786271783.232687,51,67,-,100,5,7001,2032
1786271784.2475784,55,67,-,100,35,7001,2032
1786271785.2656248,53,67,-,100,0,7001,2032
1786271786.2698166,53,66,-,100,0,7001,2032
1786271787.2761922,54,66,-,100,0,7001,2032
1786271788.285661,56,67,-,100,0,7001,2032
1786271789.2985177,56,67,-,100,6,7001,2032
1786271790.309817,51,66,-,100,0,7001,2032
1786271791.3116574,54,66,-,100,0,7001,2032
1786271792.3176672,56,67,-,100,0,7001,2032
1786271793.3198879,55,67,-,100,5,7001,2032
1786271794.3311565,53,67,-,100,0,7001,2032
1786271795.3447187,56,67,-,100,0,7001,2032
1786271796.359307,59,67,-,100,2,7001,2032
1786271797.3673036,54,68,-,100,1,7001,2032
1786271798.3746424,59,67,-,100,0,7001,2032
1786271799.378438,56,67,-,100,2,7001,2032
1786271800.3822823,54,67,-,100,4,7001,2032
1786271801.384553,56,67,-,100,0,7001,2032
1786271802.3895967,52,67,-,100,0,7001,2032
1786271803.3905895,56,67,-,100,5,7001,2032
1786271804.3962748,51,67,-,100,0,7001,2032
1786271805.4046779,51,67,-,100,0,7001,2032
1786271806.4180765,55,67,-,100,6,7001,2032
1786271807.431865,51,68,-,100,0,7001,2032
1786271808.4405854,53,67,-,100,0,7001,2032
1786271809.453253,53,68,-,100,1,7001,2032
1786271810.4550986,51,67,-,100,0,7001,2032
1786271811.4615936,51,67,-,100,0,7001,2032
1786271812.4640477,54,67,-,100,5,7001,2032
1786271813.4761012,58,68,-,100,4,7001,2032
1786271814.4814177,53,67,-,100,0,7001,2032
1786271815.4919333,51,67,-,100,0,7001,2032
1786271816.4931026,51,67,-,100,6,7001,2032
1786271817.5075798,61,68,-,100,0,7001,2032
1786271818.5171366,60,67,-,100,0,7001,2032
1786271819.5245984,51,67,-,100,0,7001,2032
1786271820.5263245,51,67,-,100,5,7001,2032
1786271821.5280612,128,72,-,100,43,7001,2017
1786271822.5351157,54,67,-,100,0,7001,2032
1786271823.5438554,52,67,-,100,0,7001,2032
1786271824.5549378,52,67,-,100,4,7001,2032
1786271825.5690675,51,67,-,100,0,7001,2032
1786271826.570092,56,67,-,100,0,7001,2032
1786271827.5832267,55,67,-,100,1,7001,2032
1786271828.589314,61,67,-,100,6,7001,2032
1786271829.5900443,53,67,-,100,0,7001,2032
1786271830.592253,52,67,-,100,0,7001,2032
1786271831.6044037,61,68,-,100,5,7001,2032
